t,d,v,a,l,sens_slope,mk_p,mk_S,tendencia,n_anios_val,NDVI_2017,NDVI_2018,NDVI_2019,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024
109,maldonado,1,2,743,-0.004215,0.03545,-18,degradacion,8,0.08298,0.06483,0.06483,0.07639,0.06478,-0.01453,-0.01452,0.06088
110,maldonado,1,2,6335,0.021068,0.10776,14,estable,8,0.01929,-0.13654,-0.10563,0.02735,-0.01931,0.0277,0.01189,0.05946
111,maldonado,1,2,744,-0.007964,0.00937,-22,degradacion,8,0.16847,0.11372,0.09762,0.08879,0.08144,0.07414,0.0663,0.08144
112,maldonado,1,1,439,-5.7e-05,0.26551,-10,estable,8,0.10727,0.08048,0.08014,0.08405,0.08029,0.08047,0.08022,0.08039
113,maldonado,1,2,1728,0.013997,0.36752,7,estable,7,,-0.07563,-0.08227,-0.11467,-0.11128,-0.10558,-0.00565,0.02764
114,maldonado,1,0,578,-0.001879,0.13313,-11,estable,7,,0.08964,0.08244,0.08811,0.084,0.07442,0.08255,0.07478
115,maldonado,1,0,2810,-0.000652,1.0,0,estable,8,-0.17391,-0.0497,0.06084,-0.05628,-0.13099,-0.08027,-0.16199,-0.02887
116,maldonado,1,0,437,-0.000354,0.17355,-12,estable,8,0.07321,0.07998,0.0724,0.0793,0.07262,0.07209,0.07325,0.07135
117,maldonado,1,0,1438,0.016099,0.03545,18,mejora,8,-0.16621,-0.05644,0.04862,0.05641,0.05342,0.06865,0.02841,0.07251
118,maldonado,1,1,4208,0.007556,0.06349,16,estable,8,-0.12299,0.02149,0.06081,0.06939,0.07526,0.06868,0.07266,0.06881
119,maldonado,1,0,2683,-2.8e-05,0.76389,-3,estable,7,0.06709,,0.0668,0.07459,0.06715,0.06668,0.06689,0.06706
120,maldonado,1,0,454,4.5e-05,0.76389,3,estable,7,0.0664,,0.05781,0.06761,0.06648,0.06679,0.06024,0.06671
121,maldonado,1,0,594,-0.000812,0.0355,-15,estable,7,0.06065,,0.05686,0.05981,0.05577,0.05677,0.05648,0.0528
122,maldonado,1,0,1398,-0.006814,1.0,-1,estable,7,-0.10333,,0.00196,-0.00485,-0.08479,-0.05602,-0.09998,-0.04941
123,maldonado,1,0,370,-0.001713,0.01626,-17,estable,7,0.07657,,0.06541,0.07543,0.07114,0.06489,0.06479,0.06457
124,rocha,1,2,2817,-0.003006,0.01626,-17,degradacion,7,0.0917,,0.0841,0.08808,0.08303,0.08003,0.07244,0.07261
125,rocha,1,2,784,-0.003881,0.0355,-15,degradacion,7,0.08406,,0.07732,0.08045,0.07302,0.06434,0.05306,0.06492
126,rocha,1,0,664,-0.001679,0.07151,-13,estable,7,0.08805,,0.07668,0.08706,0.08105,0.08,0.07221,0.07629
127,rocha,1,0,706,-0.00277,0.07151,-13,estable,7,0.09583,,0.07991,0.08899,0.08303,0.08032,0.07634,0.07644
128,rocha,1,0,1333,-0.001656,0.54801,-5,estable,7,0.08795,,0.07612,0.0851,0.0811,0.07619,0.07631,0.07636
129,rocha,1,0,1186,-0.001678,0.36752,-7,estable,7,0.09171,,0.07263,0.08822,0.0841,0.07663,0.07633,0.07996
130,rocha,1,0,1671,0.00764,0.22956,9,estable,7,-0.13034,,-0.09547,-0.09547,-0.06951,-0.08783,-0.10019,-0.05727
131,rocha,1,0,7865,-0.00014,1.0,-1,estable,7,-0.17408,,-0.17386,-0.18548,-0.17003,-0.19351,-0.1895,-0.17045
132,rocha,1,0,4504,0.001085,0.76389,3,estable,7,-0.00632,,-0.06672,-0.06031,-0.09226,-0.0879,-0.05706,-0.00211
133,rocha,1,0,4482,-0.002017,1.0,-1,estable,7,-0.26349,,-0.21285,-0.21272,-0.19724,-0.31496,-0.27559,-0.23646
134,rocha,1,0,2075,0.023901,0.01626,17,mejora,7,-0.22883,,-0.14213,-0.1376,-0.09433,-0.11879,-0.10676,0.01712
135,rocha,1,0,5579,0.01091,0.00686,19,mejora,7,-0.13471,,0.01732,0.03784,0.04204,0.05297,0.06096,0.06081
136,rocha,1,0,650,0.00289,0.13313,11,estable,7,0.03763,,0.00606,0.05575,0.05764,0.05685,0.06342,0.05681
137,rocha,1,2,1052,0.001282,0.22956,9,estable,7,0.04922,,0.04515,0.06086,0.05281,0.05278,0.06447,0.05666
138,rocha,1,2,865,0.00126,0.07151,13,estable,7,0.06631,,0.06621,0.06647,0.0663,0.07394,0.07387,0.07398
139,rocha,1,2,521,0.000192,0.22956,9,estable,7,0.05056,,0.051,0.04356,0.05112,0.05152,0.05901,0.05075
140,rocha,1,2,754,-0.000943,0.54801,-5,estable,7,0.08243,,0.06685,0.0799,0.07634,0.07224,0.07678,0.07471
141,rocha,1,2,274,-0.003055,0.22956,-9,estable,7,0.09779,,0.08851,0.09122,0.08683,0.07934,0.07232,0.09532
142,rocha,1,2,447,-0.000528,0.54801,-5,estable,7,0.05623,,0.05827,0.06032,0.04928,0.05262,0.05306,0.0528
143,rocha,1,0,726,-6.7e-05,0.76389,-3,estable,7,0.05838,,0.05816,0.05885,0.04315,0.05072,0.05068,0.05858
144,rocha,1,2,695,-0.001316,0.22956,-9,estable,7,0.05798,,0.05044,0.05297,0.03303,0.05143,0.04517,0.04877
145,rocha,1,2,1066,-3.4e-05,0.54801,-5,estable,7,0.04901,,0.04917,0.05684,0.04133,0.04907,0.03769,0.04902
146,rocha,1,0,1792,-0.00098,0.36752,-7,estable,7,0.06679,,0.05934,0.0646,0.05672,0.05991,0.06091,0.0591
147,rocha,1,0,485,0.002429,0.36752,7,estable,7,0.06867,,-0.04086,0.02432,0.05952,0.06075,0.06438,0.0615
148,rocha,1,0,860,-0.001622,1.0,-1,estable,7,0.06672,,-0.01252,0.04547,0.05678,0.05059,0.02132,0.05192
149,rocha,1,0,1854,-0.002372,0.36752,-7,estable,7,0.05678,,0.04524,0.04975,-0.01296,0.04492,-0.02928,0.05302
150,rocha,1,0,1417,0.003322,0.36752,7,estable,7,0.0019,,0.00854,0.0185,0.03028,0.01299,-0.00195,0.03861
151,rocha,1,0,4754,0.001859,0.36752,7,estable,7,0.04473,,0.05684,0.06752,0.06089,0.06072,0.06461,0.06075
152,rocha,1,0,1595,-0.000638,0.76389,-3,estable,7,0.07616,,0.05657,0.07126,0.06477,0.06087,0.07234,0.0644
153,rocha,1,0,715,-0.000395,1.0,-1,estable,7,0.07246,,0.06046,0.07128,0.06751,0.06149,0.07317,0.06342
154,rocha,1,0,1023,-0.000316,0.54801,-5,estable,7,0.07615,,0.06457,0.0752,0.06935,0.0645,0.07527,0.06546
155,rocha,1,0,2648,-0.0004,1.0,-1,estable,7,0.07254,,0.05697,0.07134,0.06862,0.06085,0.07264,0.06455
